year,variable,value,GCP
1850,luc_emissions,0.69,2019
1851,luc_emissions,0.69,2019
1852,luc_emissions,0.70,2019
1853,luc_emissions,0.70,2019
1854,luc_emissions,0.70,2019
1855,luc_emissions,0.71,2019
1856,luc_emissions,0.71,2019
1857,luc_emissions,0.72,2019
1858,luc_emissions,0.72,2019
1859,luc_emissions,0.73,2019
1860,luc_emissions,0.70,2019
1861,luc_emissions,0.69,2019
1862,luc_emissions,0.68,2019
1863,luc_emissions,0.68,2019
1864,luc_emissions,0.68,2019
1865,luc_emissions,0.68,2019
1866,luc_emissions,0.68,2019
1867,luc_emissions,0.67,2019
1868,luc_emissions,0.67,2019
1869,luc_emissions,0.67,2019
1870,luc_emissions,0.74,2019
1871,luc_emissions,0.77,2019
1872,luc_emissions,0.79,2019
1873,luc_emissions,0.81,2019
1874,luc_emissions,0.83,2019
1875,luc_emissions,0.84,2019
1876,luc_emissions,0.85,2019
1877,luc_emissions,0.86,2019
1878,luc_emissions,0.87,2019
1879,luc_emissions,0.88,2019
1880,luc_emissions,0.88,2019
1881,luc_emissions,0.89,2019
1882,luc_emissions,0.90,2019
1883,luc_emissions,0.91,2019
1884,luc_emissions,0.92,2019
1885,luc_emissions,0.93,2019
1886,luc_emissions,0.93,2019
1887,luc_emissions,0.94,2019
1888,luc_emissions,0.94,2019
1889,luc_emissions,0.95,2019
1890,luc_emissions,0.98,2019
1891,luc_emissions,1.01,2019
1892,luc_emissions,1.02,2019
1893,luc_emissions,1.03,2019
1894,luc_emissions,1.04,2019
1895,luc_emissions,1.05,2019
1896,luc_emissions,1.06,2019
1897,luc_emissions,1.07,2019
1898,luc_emissions,1.08,2019
1899,luc_emissions,1.08,2019
1900,luc_emissions,1.12,2019
1901,luc_emissions,1.15,2019
1902,luc_emissions,1.17,2019
1903,luc_emissions,1.18,2019
1904,luc_emissions,1.20,2019
1905,luc_emissions,1.21,2019
1906,luc_emissions,1.22,2019
1907,luc_emissions,1.23,2019
1908,luc_emissions,1.23,2019
1909,luc_emissions,1.24,2019
1910,luc_emissions,1.21,2019
1911,luc_emissions,1.21,2019
1912,luc_emissions,1.20,2019
1913,luc_emissions,1.19,2019
1914,luc_emissions,1.17,2019
1915,luc_emissions,1.16,2019
1916,luc_emissions,1.15,2019
1917,luc_emissions,1.15,2019
1918,luc_emissions,1.15,2019
1919,luc_emissions,1.15,2019
1920,luc_emissions,1.20,2019
1921,luc_emissions,1.23,2019
1922,luc_emissions,1.25,2019
1923,luc_emissions,1.26,2019
1924,luc_emissions,1.27,2019
1925,luc_emissions,1.28,2019
1926,luc_emissions,1.28,2019
1927,luc_emissions,1.29,2019
1928,luc_emissions,1.29,2019
1929,luc_emissions,1.29,2019
1930,luc_emissions,1.35,2019
1931,luc_emissions,1.39,2019
1932,luc_emissions,1.41,2019
1933,luc_emissions,1.44,2019
1934,luc_emissions,1.46,2019
1935,luc_emissions,1.48,2019
1936,luc_emissions,1.50,2019
1937,luc_emissions,1.51,2019
1938,luc_emissions,1.51,2019
1939,luc_emissions,1.52,2019
1940,luc_emissions,1.54,2019
1941,luc_emissions,1.57,2019
1942,luc_emissions,1.56,2019
1943,luc_emissions,1.55,2019
1944,luc_emissions,1.54,2019
1945,luc_emissions,1.53,2019
1946,luc_emissions,1.52,2019
1947,luc_emissions,1.51,2019
