"year","variable","value","GCP"
1959,"luc_emissions",1.4,"2007"
1960,"luc_emissions",1.39,"2007"
1961,"luc_emissions",1.46,"2007"
1962,"luc_emissions",1.46,"2007"
1963,"luc_emissions",1.47,"2007"
1964,"luc_emissions",1.49,"2007"
1965,"luc_emissions",1.5,"2007"
1966,"luc_emissions",1.54,"2007"
1967,"luc_emissions",1.55,"2007"
1968,"luc_emissions",1.48,"2007"
1969,"luc_emissions",1.48,"2007"
1970,"luc_emissions",1.44,"2007"
1971,"luc_emissions",1.29,"2007"
1972,"luc_emissions",1.26,"2007"
1973,"luc_emissions",1.25,"2007"
1974,"luc_emissions",1.25,"2007"
1975,"luc_emissions",1.25,"2007"
1976,"luc_emissions",1.31,"2007"
1977,"luc_emissions",1.32,"2007"
1978,"luc_emissions",1.31,"2007"
1979,"luc_emissions",1.28,"2007"
1980,"luc_emissions",1.24,"2007"
1981,"luc_emissions",1.26,"2007"
1982,"luc_emissions",1.46,"2007"
1983,"luc_emissions",1.51,"2007"
1984,"luc_emissions",1.56,"2007"
1985,"luc_emissions",1.58,"2007"
1986,"luc_emissions",1.6,"2007"
1987,"luc_emissions",1.61,"2007"
1988,"luc_emissions",1.64,"2007"
1989,"luc_emissions",1.65,"2007"
1990,"luc_emissions",1.64,"2007"
1991,"luc_emissions",1.71,"2007"
1992,"luc_emissions",1.61,"2007"
1993,"luc_emissions",1.59,"2007"
1994,"luc_emissions",1.58,"2007"
1995,"luc_emissions",1.56,"2007"
1996,"luc_emissions",1.53,"2007"
1997,"luc_emissions",1.49,"2007"
1998,"luc_emissions",1.49,"2007"
1999,"luc_emissions",1.45,"2007"
2000,"luc_emissions",1.41,"2007"
2001,"luc_emissions",1.39,"2007"
2002,"luc_emissions",1.52,"2007"
2003,"luc_emissions",1.51,"2007"
2004,"luc_emissions",1.53,"2007"
2005,"luc_emissions",1.47,"2007"
2006,"luc_emissions",1.47,"2007"
NA,"luc_emissions",NA,"2010"
1959,"luc_emissions",1.46,"2010"
1960,"luc_emissions",1.45,"2010"
1961,"luc_emissions",1.52,"2010"
1962,"luc_emissions",1.51,"2010"
1963,"luc_emissions",1.51,"2010"
1964,"luc_emissions",1.5,"2010"
1965,"luc_emissions",1.54,"2010"
1966,"luc_emissions",1.54,"2010"
1967,"luc_emissions",1.58,"2010"
1968,"luc_emissions",1.54,"2010"
1969,"luc_emissions",1.54,"2010"
1970,"luc_emissions",1.53,"2010"
1971,"luc_emissions",1.4,"2010"
1972,"luc_emissions",1.32,"2010"
1973,"luc_emissions",1.31,"2010"
1974,"luc_emissions",1.29,"2010"
1975,"luc_emissions",1.3,"2010"
1976,"luc_emissions",1.32,"2010"
1977,"luc_emissions",1.35,"2010"
1978,"luc_emissions",1.3,"2010"
1979,"luc_emissions",1.25,"2010"
1980,"luc_emissions",1.25,"2010"
1981,"luc_emissions",1.26,"2010"
1982,"luc_emissions",1.26,"2010"
1983,"luc_emissions",1.44,"2010"
1984,"luc_emissions",1.47,"2010"
1985,"luc_emissions",1.5,"2010"
1986,"luc_emissions",1.54,"2010"
1987,"luc_emissions",1.52,"2010"
1988,"luc_emissions",1.52,"2010"
1989,"luc_emissions",1.54,"2010"
1990,"luc_emissions",1.45,"2010"
1991,"luc_emissions",1.65,"2010"
1992,"luc_emissions",1.69,"2010"
1993,"luc_emissions",1.56,"2010"
1994,"luc_emissions",1.52,"2010"
1995,"luc_emissions",1.5,"2010"
1996,"luc_emissions",1.48,"2010"
1997,"luc_emissions",1.46,"2010"
1998,"luc_emissions",1.45,"2010"
1999,"luc_emissions",1.41,"2010"
2000,"luc_emissions",1.43,"2010"
2001,"luc_emissions",1.24,"2010"
2002,"luc_emissions",1.07,"2010"
2003,"luc_emissions",1.04,"2010"
2004,"luc_emissions",1.02,"2010"
2005,"luc_emissions",1,"2010"
2006,"luc_emissions",1,"2010"
2007,"luc_emissions",0.95,"2010"
2008,"luc_emissions",0.94,"2010"
2009,"luc_emissions",0.88,"2010"
1850,"luc_emissions",0.5246421,"2015"
1851,"luc_emissions",0.5612835,"2015"
1852,"luc_emissions",0.5719084,"2015"
1853,"luc_emissions",0.6165531,"2015"
1854,"luc_emissions",0.6177522,"2015"
1855,"luc_emissions",0.6186108,"2015"
1856,"luc_emissions",0.6180099,"2015"
1857,"luc_emissions",0.6181927,"2015"
1858,"luc_emissions",0.6167931,"2015"
1859,"luc_emissions",0.6156701,"2015"
1860,"luc_emissions",0.6143396,"2015"
1861,"luc_emissions",0.6174653,"2015"
1862,"luc_emissions",0.5826364,"2015"
1863,"luc_emissions",0.5363551,"2015"
1864,"luc_emissions",0.5281343,"2015"
1865,"luc_emissions",0.5204793,"2015"
1866,"luc_emissions",0.5146833,"2015"
1867,"luc_emissions",0.5107925,"2015"
1868,"luc_emissions",0.5060819,"2015"
1869,"luc_emissions",0.5019008,"2015"
1870,"luc_emissions",0.4981297,"2015"
1871,"luc_emissions",0.5093502,"2015"
1872,"luc_emissions",0.5281057,"2015"
1873,"luc_emissions",0.5886872,"2015"
1874,"luc_emissions",0.5922459,"2015"
1875,"luc_emissions",0.5977831,"2015"
1876,"luc_emissions",0.6028278,"2015"
1877,"luc_emissions",0.6080785,"2015"
1878,"luc_emissions",0.6134486,"2015"
1879,"luc_emissions",0.6190693,"2015"
1880,"luc_emissions",0.6245758,"2015"
1881,"luc_emissions",0.6439927,"2015"
1882,"luc_emissions",0.6715778,"2015"
1883,"luc_emissions",0.632504,"2015"
1884,"luc_emissions",0.6379123,"2015"
1885,"luc_emissions",0.642036,"2015"
1886,"luc_emissions",0.6443609,"2015"
1887,"luc_emissions",0.6461545,"2015"
1888,"luc_emissions",0.6523385,"2015"
1889,"luc_emissions",0.6588631,"2015"
1890,"luc_emissions",0.6654525,"2015"
1891,"luc_emissions",0.6762028,"2015"
1892,"luc_emissions",0.6480769,"2015"
1893,"luc_emissions",0.6456665,"2015"
1894,"luc_emissions",0.6568155,"2015"
1895,"luc_emissions",0.6496173,"2015"
1896,"luc_emissions",0.6491495,"2015"
1897,"luc_emissions",0.6493046,"2015"
1898,"luc_emissions",0.6502024,"2015"
1899,"luc_emissions",0.650502,"2015"
1900,"luc_emissions",0.65245,"2015"
1901,"luc_emissions",0.7101174,"2015"
1902,"luc_emissions",0.7405352,"2015"
1903,"luc_emissions",0.7578835,"2015"
1904,"luc_emissions",0.7823443,"2015"
1905,"luc_emissions",0.8055936,"2015"
1906,"luc_emissions",0.8279562,"2015"
1907,"luc_emissions",0.8428133,"2015"
1908,"luc_emissions",0.8535736,"2015"
1909,"luc_emissions",0.8610995,"2015"
1910,"luc_emissions",0.8605716,"2015"
1911,"luc_emissions",0.7975265,"2015"
1912,"luc_emissions",0.784819,"2015"
1913,"luc_emissions",0.7288126,"2015"
1914,"luc_emissions",0.7103921,"2015"
1915,"luc_emissions",0.703257,"2015"
1916,"luc_emissions",0.696958,"2015"
1917,"luc_emissions",0.6900549,"2015"
1918,"luc_emissions",0.6776542,"2015"
1919,"luc_emissions",0.6752169,"2015"
1920,"luc_emissions",0.6734836,"2015"
1921,"luc_emissions",0.7226528,"2015"
1922,"luc_emissions",0.7259387,"2015"
1923,"luc_emissions",0.7122873,"2015"
1924,"luc_emissions",0.7151443,"2015"
1925,"luc_emissions",0.7177055,"2015"
1926,"luc_emissions",0.7221141,"2015"
1927,"luc_emissions",0.7293897,"2015"
1928,"luc_emissions",0.7447933,"2015"
1929,"luc_emissions",0.7545337,"2015"
1930,"luc_emissions",0.7646332,"2015"
1931,"luc_emissions",0.7758736,"2015"
1932,"luc_emissions",0.8045122,"2015"
1933,"luc_emissions",0.8064323,"2015"
1934,"luc_emissions",0.8109294,"2015"
1935,"luc_emissions",0.8149144,"2015"
1936,"luc_emissions",0.8479229,"2015"
1937,"luc_emissions",0.8539208,"2015"
1938,"luc_emissions",0.8636932,"2015"
1939,"luc_emissions",0.863729,"2015"
1940,"luc_emissions",0.8641821,"2015"
1941,"luc_emissions",0.8039118,"2015"
1942,"luc_emissions",0.838961,"2015"
1943,"luc_emissions",0.8466367,"2015"
1944,"luc_emissions",0.8559352,"2015"
1945,"luc_emissions",0.8611077,"2015"
1946,"luc_emissions",0.9381039,"2015"
1947,"luc_emissions",0.9594003,"2015"
1948,"luc_emissions",1.0090172,"2015"
1949,"luc_emissions",1.0289978,"2015"
1950,"luc_emissions",1.0535967,"2015"
1951,"luc_emissions",1.287609,"2015"
1952,"luc_emissions",1.399923,"2015"
1953,"luc_emissions",1.3801413,"2015"
1954,"luc_emissions",1.4323748,"2015"
1955,"luc_emissions",1.4808446,"2015"
1956,"luc_emissions",1.5065268,"2015"
1957,"luc_emissions",1.5246383,"2015"
1958,"luc_emissions",1.5605785,"2015"
1959,"luc_emissions",1.4727759,"2015"
1960,"luc_emissions",1.4606345,"2015"
1961,"luc_emissions",1.530231,"2015"
1962,"luc_emissions",1.5198038,"2015"
1963,"luc_emissions",1.5262845,"2015"
1964,"luc_emissions",1.5173337,"2015"
1965,"luc_emissions",1.5484721,"2015"
1966,"luc_emissions",1.5508256,"2015"
1967,"luc_emissions",1.594899,"2015"
1968,"luc_emissions",1.5460563,"2015"
1969,"luc_emissions",1.5427741,"2015"
1970,"luc_emissions",1.5310014,"2015"
1971,"luc_emissions",1.4047031,"2015"
1972,"luc_emissions",1.3261336,"2015"
1973,"luc_emissions",1.3175873,"2015"
1974,"luc_emissions",1.2897675,"2015"
1975,"luc_emissions",1.3024158,"2015"
1976,"luc_emissions",1.3194059,"2015"
1977,"luc_emissions",1.3512792,"2015"
1978,"luc_emissions",1.2985151,"2015"
1979,"luc_emissions",1.2515593,"2015"
1980,"luc_emissions",1.2433824,"2015"
1981,"luc_emissions",1.2520549,"2015"
1982,"luc_emissions",1.2573836,"2015"
1983,"luc_emissions",1.4321564,"2015"
1984,"luc_emissions",1.46034,"2015"
1985,"luc_emissions",1.4988356,"2015"
1986,"luc_emissions",1.529187,"2015"
1987,"luc_emissions",1.5147715,"2015"
1988,"luc_emissions",1.5141773,"2015"
1989,"luc_emissions",1.5312021,"2015"
1990,"luc_emissions",1.4442218,"2015"
1991,"luc_emissions",1.6358689,"2015"
1992,"luc_emissions",1.6820379,"2015"
1993,"luc_emissions",1.5457908,"2015"
1994,"luc_emissions",1.5028061,"2015"
1995,"luc_emissions",1.4851806,"2015"
1996,"luc_emissions",1.4693037,"2015"
1997,"luc_emissions",1.4470633,"2015"
1998,"luc_emissions",1.4343834,"2015"
1999,"luc_emissions",1.3967126,"2015"
2000,"luc_emissions",1.411682,"2015"
2001,"luc_emissions",1.2282911,"2015"
2002,"luc_emissions",1.0590756,"2015"
2003,"luc_emissions",1.0315677,"2015"
2004,"luc_emissions",1.0046559,"2015"
2005,"luc_emissions",0.9911075,"2015"
2006,"luc_emissions",0.9920526,"2015"
2007,"luc_emissions",0.9396983,"2015"
2008,"luc_emissions",0.9260047,"2015"
2009,"luc_emissions",0.8674776,"2015"
2010,"luc_emissions",0.8546455,"2015"
1850,"luc_emissions",0.674496160296122,"2020"
1851,"luc_emissions",0.679292938423157,"2020"
1852,"luc_emissions",0.684154807921092,"2020"
1853,"luc_emissions",0.689020241081238,"2020"
1854,"luc_emissions",0.692163693058014,"2020"
1855,"luc_emissions",0.69479520107015,"2020"
1856,"luc_emissions",0.69878967261378,"2020"
1857,"luc_emissions",0.704624584974925,"2020"
1858,"luc_emissions",0.709590279696146,"2020"
1859,"luc_emissions",0.712655639128367,"2020"
1860,"luc_emissions",0.691598568229675,"2020"
1861,"luc_emissions",0.683423001146952,"2020"
1862,"luc_emissions",0.679563739241282,"2020"
1863,"luc_emissions",0.677323949479421,"2020"
1864,"luc_emissions",0.675416178220113,"2020"
1865,"luc_emissions",0.675272114817302,"2020"
1866,"luc_emissions",0.672300851178487,"2020"
1867,"luc_emissions",0.670592536580403,"2020"
1868,"luc_emissions",0.669302753991445,"2020"
1869,"luc_emissions",0.669208166810353,"2020"
1870,"luc_emissions",0.724501881479899,"2020"
